source_name,title,tags,date,source_url
WhiteHouse.gov,Block Federal Funding of Abortion,"Proclamation, Health",2017-01-24,https://www.whitehouse.gov/the-press-office/2017/01/24/h-r-7-%E2%80%93-no-taxpayer-funding-abortion-and-abortion-insurance-full
WhiteHouse.gov,Implementation of Regulatory Freeze,"Memorandum, Regulation",2017-01-24,https://www.whitehouse.gov/the-press-office/2017/01/24/implementation-regulatory-freeze
WhiteHouse.gov,Federal Civilian Hiring Freeze,"Memorandum, Operation",2017-01-25,https://www.whitehouse.gov/the-press-office/2017/01/25/omb-memorandum-immediate-actions-and-initial-guidance-federal-civilian
WhiteHouse.gov,Minimize Costs of ACA Pending Repeal,"Impact Analysis, Healthcare",2017-01-26,https://www.whitehouse.gov/the-press-office/2017/01/26/statement-acting-omb-director-sandy-budgetary-impact-analysis-executive-order
WhiteHouse.gov,Enhance Public Safety,"Impact Analysis, Crime, Immigration",2017-01-26,https://www.whitehouse.gov/the-press-office/2017/01/26/statement-acting-omb-director-mark-sandy-budgetary-impact-analysis-public-saftey
WhiteHouse.gov,Southern Border Wall Construction,"Impact Analysis, Immigration",2017-01-26,https://www.whitehouse.gov/the-press-office/2017/01/26/statement-acting-omb-director-mark-sandy-budgetary-impact-analysis-enforcement-improvements
WhiteHouse.gov,Expedite Approvals for Infrastructure Projects,"Impact Analysis, Infrastructure",2017-01-26,https://www.whitehouse.gov/the-press-office/2017/01/26/statement-acting-omb-director-mark-sandy-budgetary-impact-analysis-high-priority
WhiteHouse.gov,Ethic Commitments of Executive Appointees,"Impact Analysis, Ethics",2017-01-30,https://www.whitehouse.gov/the-press-office/2017/01/30/budgetary-impact-analysis-executive-order-entitled-ethics-commitments
WhiteHouse.gov,Prevent Admission of Foreign Nationals,"Impact Analysis, Immigration",2017-01-30,https://www.whitehouse.gov/the-press-office/2017/01/30/budgetary-impact-analysis-executive-order-entitled-protecting-nation
WhiteHouse.gov,Federal Hiring Freeze Guidance,"Memorandum, Operation",2017-01-31,https://www.whitehouse.gov/the-press-office/2017/01/31/federal-civilian-hiring-freeze-guidance
WhiteHouse.gov,"H.J. Res. 38, H.J. Res. 36, H.J. Res. 41, H.J. Res. 40, H.J. Res. 37",Proclamation,2017-02-01,https://www.whitehouse.gov/the-press-office/2017/02/01/statement-administration-policy
WhiteHouse.gov,Reducing Regulation Guidance,"Memorandum, Regulation",2017-02-02,https://www.whitehouse.gov/the-press-office/2017/02/02/interim-guidance-implementing-section-2-executive-order-january-30-2017
WhiteHouse.gov,Core Principals for Regulating Economy,"Impact Analysis, Economy",2017-02-07,https://www.whitehouse.gov/the-press-office/2017/02/07/budgetary-impact-analysis-executive-order-entitled-core-principles
WhiteHouse.gov,H.J. Res 42 - Unemployment Drug Testing,"Proclamation, Labor",2017-02-07,https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-42-disapproving-rule-submitted-department-labor-relating-drug
WhiteHouse.gov,H.J. Res 44 - Land Management Rules,"Proclamation, Public Land",2017-02-07,https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-44-disapproving-rule-submitted-department-interior-relating-bureau
WhiteHouse.gov,H.J. Res 57 - Secondary Education Act of 1965,"Proclamation, Education",2017-02-07,https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-57-disapproving-rule-submitted-department-education-relating
WhiteHouse.gov,H.J. Res 58 - Teacher Preparation,"Proclamation, Education",2017-02-07,https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-58-disapproving-rule-submitted-department-education-relating-teacher
WhiteHouse.gov,Transnational Crime and Trafficking,"Impact Analysis, Crime, Immigration",2017-02-13,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-enforcing-federal-law
WhiteHouse.gov,Prevent Violence Against Law Enforcement,"Impact Analysis, Crime",2017-02-13,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-preventing-violence
WhiteHouse.gov,Task Force on Public Safety,"Impact Analysis, Crime",2017-02-13,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-task-force-crime
WhiteHouse.gov,Department of Justice Succession,Impact Analysis,2017-02-13,https://www.whitehouse.gov/the-press-office/2017/02/13/budgetary-impact-analysis-executive-order-entitled-providing-order
